,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,car,because
11,mettre,to put
12,laisse,leash
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,corps,body
39,endroit,place
40,façon,way
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,vieux,old
46,sois,be
47,matin,morning
48,tellement,so much
49,enfant,child
50,point,point
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,minutes,minutes
57,chambre,bedroom
58,mis,placed
59,aimerais,would like to
60,mari,husband
61,cause,cause
62,enfin,finally
63,espère,hope
64,eau,water
65,attendez,Wait
66,nouvelle,new
67,boulot,job
68,arrêter,Stop
69,dirait,would say
70,terre,Earth
71,donne,given
72,loin,far
73,fin,end
74,chérie,sweetheart
75,gros,large
76,aura,will have
77,filles,girls
78,jouer,to play
79,bureau,office
